City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,90,US,1529880360,88,42.65,-73.75,73.4,13.87
1,rikitea,0,PF,1529880883,100,-23.12,-134.97,75.99,13.42
2,mataura,92,NZ,1529880884,100,-46.19,168.86,40.44,16.44
3,egvekinot,36,RU,1529880884,69,66.32,-179.17,46.74,6.71
4,mayo,90,CA,1529877600,87,63.59,-135.9,57.2,3.36
5,saskylakh,92,RU,1529880885,100,71.97,114.09,47.55,12.3
6,qaanaaq,56,GL,1529880886,100,77.48,-69.36,31.26,3.69
7,zhuhai,40,CN,1529877600,77,40.71,112.04,64.4,4.47
8,kruisfontein,12,ZA,1529880390,96,-34.0,24.73,54.3,9.06
9,xuanhua,80,CN,1529880887,59,40.61,115.04,73.2,2.91
10,port alfred,0,ZA,1529880888,100,-33.59,26.89,56.82,3.24
11,kayerkan,56,RU,1529880888,79,69.35,87.76,63.48,10.74
12,yellowknife,40,CA,1529877600,52,62.45,-114.38,69.8,14.99
13,pangkalanbuun,92,ID,1529880889,100,-2.68,111.62,71.58,2.91
14,tuktoyaktuk,75,CA,1529877600,75,69.44,-133.03,42.8,11.41
15,viedma,8,AR,1529880331,37,-40.81,-62.99,49.26,15.32
16,miandrivazo,8,MG,1529880890,82,-19.53,45.46,54.66,0.67
17,ushuaia,90,AR,1529877600,100,-54.81,-68.31,32.0,2.24
18,ostrovnoy,92,RU,1529880891,76,68.05,39.51,55.2,2.91
19,hilo,75,US,1529877180,78,19.71,-155.08,78.8,3.36
20,zhigansk,68,RU,1529880568,88,66.77,123.37,62.67,3.02
21,vaini,92,IN,1529880892,98,15.34,74.49,68.61,7.61
22,suleja,12,NG,1529880892,94,9.18,7.18,68.16,2.91
23,thompson,5,CA,1529877600,23,55.74,-97.86,77.0,10.29
24,marsala,20,IT,1529878800,78,37.8,12.44,73.4,2.24
25,khatanga,20,RU,1529880893,82,71.98,102.47,50.16,13.87
26,new norfolk,40,AU,1529877600,70,-42.78,147.06,48.2,9.17
27,hohhot,40,CN,1529877600,77,40.81,111.65,64.4,4.47
28,arraial do cabo,0,BR,1529880386,93,-22.97,-42.02,72.39,13.53
29,cape town,0,ZA,1529877600,93,-33.93,18.42,50.0,3.36
30,bethel,90,US,1529877180,51,60.79,-161.76,60.8,3.36
31,aklavik,75,CA,1529877600,57,68.22,-135.01,50.0,4.7
32,nieves,20,MX,1529880896,29,24.0,-103.02,81.12,9.84
33,abha,0,SA,1529877600,24,18.22,42.5,73.4,1.79
34,punta arenas,20,CL,1529877600,100,-53.16,-70.91,33.8,11.41
35,bredasdorp,76,ZA,1529877600,71,-34.53,20.04,50.0,5.82
36,sitka,44,US,1529880431,77,37.17,-99.65,77.7,9.4
37,kavaratti,76,IN,1529880302,100,10.57,72.64,78.33,18.79
38,walvis bay,0,NA,1529877600,81,-22.95,14.51,53.6,3.36
39,marion,24,US,1529879700,59,35.21,-90.2,89.6,8.05
40,vuktyl,0,RU,1529880899,85,63.86,57.31,63.21,1.9
41,ribeira grande,20,PT,1529875800,88,38.52,-28.7,71.6,7.38
42,castro,88,CL,1529880387,100,-42.48,-73.76,46.29,3.69
43,jamestown,88,AU,1529880900,94,-33.21,138.6,39.99,4.36
44,yar-sale,80,RU,1529880900,79,66.83,70.83,49.8,11.52
45,cazones,75,MX,1529876820,66,20.72,-97.32,89.6,11.41
46,dikson,8,RU,1529880302,97,73.51,80.55,34.41,8.28
47,bilma,20,NE,1529880414,31,18.69,12.92,81.39,3.36
48,rabo de peixe,75,PT,1529879400,72,37.8,-25.58,68.0,5.82
49,sao joao da barra,0,BR,1529877600,88,-21.64,-41.05,73.4,6.93
50,ancud,92,CL,1529880314,97,-41.87,-73.83,48.63,5.48
51,butaritari,36,KI,1529880903,100,3.07,172.79,82.29,9.62
52,avarua,75,CK,1529877600,83,-21.21,-159.78,78.8,9.17
53,busselton,0,AU,1529880340,100,-33.64,115.35,59.7,18.45
54,coahuayana,20,MX,1529880464,48,18.62,-100.35,82.38,2.91
55,port blair,88,IN,1529880501,100,11.67,92.75,82.11,20.02
56,alexandria,1,US,1529879700,62,31.31,-92.44,93.2,9.17
57,hakui,40,JP,1529877600,56,36.89,136.78,73.4,6.93
58,khash,0,IR,1529880905,23,28.22,61.21,71.67,6.93
59,katherine,12,AU,1529877600,77,-14.47,132.26,60.8,4.7
60,mahajanga,20,MG,1529877600,60,-15.72,46.32,75.2,4.7
61,maceio,40,BR,1529877600,83,-9.67,-35.74,75.2,4.7
62,soubre,92,CI,1529880906,99,5.79,-6.61,73.02,6.6
63,bambous virieux,75,MU,1529877600,73,-20.34,57.76,73.4,11.41
